ms,heartrate
0,-5
2,-5
4,-5
6,-5
8,0
10,0
12,0
14,0
16,0
18,0
20,-5
22,-5
24,-5
26,-12
28,-10
30,-12
32,-15
34,-10
36,-15
38,-22
40,-30
42,-37
44,-42
46,-50
48,-55
50,-62
52,-62
54,-67
56,-67
58,-77
60,-77
62,-77
64,-77
66,-77
68,-77
70,-77
72,-80
74,-90
76,-100
78,-110
80,-125
82,-122
84,-130
86,-130
88,-122
90,-125
92,-117
94,-112
96,-112
98,-100
100,-95
102,-87
104,-80
106,-80
108,-75
110,-67
112,-65
114,-55
116,-52
118,-42
120,-40
122,-30
124,-25
126,-20
128,-15
130,2
132,27
134,70
136,125
138,185
140,222
142,250
144,247
146,205
148,145
150,62
152,-27
154,-105
156,-160
158,-195
160,-225
162,-242
164,-255
166,-267
168,-267
170,-267
172,-270
174,-262
176,-252
178,-242
180,-230
182,-212
184,-192
186,-162
188,-130
190,-102
192,-82
194,-65
196,-55
198,-40
200,-25
202,-20
204,-7
206,0
208,7
210,10
212,10
214,10
216,15
218,15
220,22
222,25
224,25
226,25
228,20
230,20
232,17
234,17
236,12
238,7
240,5
242,5
244,2
246,5
248,-5
250,-5
252,-5
254,-10
256,-10
258,-12
260,-10
262,-7
264,-5
266,0
268,0
270,2
272,12
274,12
276,17
278,15
280,27
282,27
284,32
286,37
288,40
290,42
292,50
294,50
296,50
298,52
300,55
302,57
304,55
306,55
308,60
310,60
312,65
314,70
316,65
318,67
320,75
322,75
324,80
326,82
328,87
330,87
332,87
334,90
336,87
338,87
340,90
342,87
344,87
346,87
348,87
350,92
352,90
354,90
356,87
358,87
360,87
362,85
364,80
366,85
368,75
370,67
372,70
374,62
376,57
378,52
380,45
382,40
384,32
386,25
388,20
390,12
392,5
394,7
396,0
398,-5
400,-7
402,-7
404,-7
406,-5
408,-5
410,-5
412,-10
414,-10
416,-17
418,-20
420,-30
422,-35
424,-42
426,-52
428,-52
430,-65
432,-70
434,-80
436,-85
438,-87
440,-87
442,-90
444,-87
446,-80
448,-77
450,-70
452,-60
454,-52
456,-45
458,-42
460,-25
462,-22
464,-7
466,0
468,7
470,12
472,15
474,22
476,27
478,37
480,40
482,55
484,60
486,75
488,85
490,102
492,112
494,135
496,157
498,175
500,195
502,207
504,217
506,220
508,230
510,230
512,230
514,235
516,235
518,237
520,237
522,235
524,235
526,235
528,232
530,232
532,227
534,222
536,220
538,217
540,210
542,207
544,205
546,197
548,195
550,187
552,172
554,172
556,155
558,152
560,142
562,132
564,127
566,112
568,107
570,100
572,87
574,85
576,70
578,62
580,50
582,45
584,32
586,27
588,12
590,10
592,0
594,-7
596,-10
598,-10
600,0
602,22
604,57
606,105
608,152
610,185
612,197
614,190
616,147
618,75
620,-7
622,-92
624,-162
626,-220
628,-255
630,-275
632,-297
634,-307
636,-307
638,-307
640,-310
642,-307
644,-305
646,-300
648,-300
650,-292
652,-282
654,-265
656,-242
658,-215
660,-192
662,-182
664,-170
666,-162
668,-152
670,-145
672,-140
674,-130
676,-125
678,-117
680,-115
682,-112
684,-112
686,-107
688,-105
690,-100
692,-102
694,-92
696,-90
698,-85
700,-87
702,-82
704,-85
706,-80
708,-75
710,-75
712,-67
714,-65
716,-60
718,-55
720,-52
722,-45
724,-37
726,-30
728,-25
730,-20
732,-12
734,-10
736,-5
738,-5
740,0
742,5
744,10
746,17
748,22
750,30
752,32
754,40
756,42
758,50
760,50
762,57
764,55
766,55
768,62
770,60
772,65
774,65
776,62
778,60
780,60
782,60
784,60
786,60
788,60
790,60
792,60
794,55
796,57
798,52
800,55
802,52
804,52
806,42
808,37
810,40
812,32
814,30
816,25
818,20
820,10
822,2
824,-5
826,-10
828,-15
830,-20
832,-30
834,-37
836,-42
838,-50
840,-52
842,-60
844,-67
846,-72
848,-75
850,-80
852,-85
854,-90
856,-97
858,-107
860,-107
862,-105
864,-100
866,-95
868,-90
870,-77
872,-65
874,-52
876,-37
878,-27
880,-20
882,-10
884,-7
886,-2
888,5
890,10
892,17
894,25
896,27
898,32
900,32
902,30
904,30
906,30
908,32
910,25
912,25
914,20
916,20
918,17
920,25
922,20
924,30
926,30
928,37
930,37
932,32
934,32
936,22
938,22
940,20
942,15
944,12
946,5
948,7
950,5
952,12
954,12
956,15
958,17
960,15
962,17
964,20
966,15
968,10
970,10
972,7
974,5
976,0
978,-7
980,-12
982,-17
984,-20
986,-15
988,2
990,25
992,67
994,115
996,177
998,257
1000,342
1002,422
1004,490
1006,527
1008,535
1010,510
1012,462
1014,412
1016,345
1018,275
1020,187
1022,95
1024,-2
1026,-80
1028,-140
1030,-187
1032,-210
1034,-217
1036,-225
1038,-217
1040,-215
1042,-197
1044,-182
1046,-160
1048,-145
1050,-132
1052,-120
1054,-107
1056,-105
1058,-110
1060,-115
1062,-127
1064,-142
1066,-152
1068,-157
1070,-167
1072,-167
1074,-167
1076,-167
1078,-167
1080,-167
1082,-167
1084,-167
1086,-167
1088,-160
1090,-160
1092,-160
1094,-152
1096,-157
1098,-152
1100,-150
1102,-147
1104,-142
1106,-145
1108,-137
1110,-137
1112,-132
1114,-127
1116,-125
1118,-125
1120,-125
1122,-125
1124,-125
1126,-125
1128,-120
1130,-115
1132,-115
1134,-102
1136,-105
1138,-105
1140,-105
1142,-100
1144,-102
1146,-100
1148,-92
1150,-95
1152,-92
1154,-87
1156,-90
1158,-80
1160,-80
1162,-72
1164,-75
1166,-75
1168,-80
1170,-80
1172,-80
1174,-80
1176,-80
1178,-80
1180,-80
1182,-80
1184,-82
1186,-80
1188,-87
1190,-87
1192,-82
1194,-80
1196,-77
1198,-75
1200,-72
1202,-70
1204,-60
1206,-52
1208,-52
1210,-45
1212,-32
1214,-25
1216,-12
1218,-2
1220,5
1222,17
1224,25
1226,35
1228,40
1230,52
1232,60
1234,62
1236,67
1238,72
1240,72
1242,82
1244,80
1246,80
1248,87
1250,87
1252,92
1254,92
1256,90
1258,100
1260,100
1262,100
1264,102
1266,100
1268,105
1270,112
1272,110
1274,117
1276,117
1278,125
1280,135
1282,140
1284,150
1286,152
1288,155
1290,155
1292,160
